step,train_loss,train_accuracy,jaccard index(JA),dice coefficient(DI),Accuracy(AC),sensitivity(SE),specificity(SP)
171,0.3614244759082794,0.851475179195404,0.6742719081457096,0.8796901702880859,0.7629307606913575,0.710334509423072,0.983791803025619
172,0.3615991771221161,0.8515830636024475,0.611904911412359,0.8701324462890625,0.7450345511570079,0.6537753632994068,0.9786944877954383
173,0.361787348985672,0.8515520691871643,0.5656873896900816,0.84619140625,0.6970484004844181,0.7250138252048638,0.9494157369987294
174,0.3617865741252899,0.8518320322036743,0.7348214977616135,0.9005393981933594,0.8350561627313775,0.8346169649369303,0.9835293931540958
175,0.36101412773132324,0.8522918224334717,0.6954206406267694,0.9327545166015625,0.7905175091331348,0.8914115740294456,0.954192456093598
176,0.36087048053741455,0.8526036143302917,0.6477724479081306,0.9074840545654297,0.743744193001769,0.9262864617002948,0.9386078927359954
177,0.36035022139549255,0.8529409170150757,0.7129325536813191,0.9126358032226562,0.8174479211500391,0.7661287787009035,0.993269081393283
178,0.3597559928894043,0.8533806204795837,0.6341434680790007,0.9316444396972656,0.7578389397434686,0.7443709337177082,0.9824612167668823
179,0.3590943217277527,0.853877604007721,0.7448429160648684,0.9428424835205078,0.8070322322500662,0.7618188813587371,0.9929430706970139
180,0.35823148488998413,0.8543353080749512,0.588538679313339,0.9367160797119141,0.7533248836646973,0.6306302678899708,0.9889195577755345
181,0.3579043745994568,0.8545647859573364,0.5408662123331729,0.8961009979248047,0.6408422606123232,0.5634777878179634,0.9885864435141418
182,0.35824888944625854,0.8547065854072571,0.708491183138938,0.8805027008056641,0.7652921419864877,0.7227208040848139,0.9978852272859215
183,0.35769760608673096,0.8551943302154541,0.7462688616318514,0.9444522857666016,0.8179452368828943,0.8798498220222664,0.9868210011501751
184,0.356510728597641,0.8557719588279724,0.7068753580502658,0.9620590209960938,0.810756921216787,0.8569643620051255,0.9855114616676625
185,0.3558071553707123,0.8562120795249939,0.7651981835930317,0.9376411437988281,0.8398825999503606,0.9463610272458731,0.9597597326523635
186,0.35547274351119995,0.8564314246177673,0.5860498293547068,0.8972301483154297,0.6860696244863241,0.8572545066436945,0.9289666389496272
187,0.355655312538147,0.8565276861190796,0.5779832855096055,0.8745250701904297,0.6772474866578284,0.7316764406505898,0.9778480335310241
188,0.3561854958534241,0.8567142486572266,0.7178729870579353,0.8917865753173828,0.8028665579068364,0.8923643627781922,0.9762084643886195
189,0.35584384202957153,0.8569204211235046,0.5776917855835226,0.8958911895751953,0.701695296753942,0.9254677565529332,0.9306820835269725
190,0.35561874508857727,0.8569347858428955,0.5906462303586854,0.8596611022949219,0.6751075907443056,0.9239174517875436,0.8711907320024163
191,0.35523542761802673,0.8574020266532898,0.7994208683476095,0.9466342926025391,0.863549644279388,0.9180555020674065,0.9679473532790523
192,0.35444194078445435,0.857765257358551,0.6581729669466718,0.9275035858154297,0.7486277770559406,0.7507248240844124,0.9563549251242687
193,0.3539429008960724,0.858009397983551,0.586784007695658,0.9051380157470703,0.7080723529000277,0.5944616674598989,0.999391583635036
194,0.35473424196243286,0.8578026294708252,0.44836785342197727,0.8176860809326172,0.5680503548185756,0.44971005644513995,0.9955876717654601
195,0.35618090629577637,0.857613205909729,0.6350649970583976,0.8206825256347656,0.7627291019734245,0.6494243847691403,0.9984433331877339
196,0.3555486500263214,0.8580574989318848,0.7734571082269579,0.9451274871826172,0.8794393560635086,0.8111165419175101,0.9958018903373975
197,0.3549308776855469,0.8585720658302307,0.8446062184426271,0.9599514007568359,0.9150445625938043,0.8786272040806169,0.9917911881108519
198,0.3542514145374298,0.8589354157447815,0.6057025260769301,0.930877685546875,0.7105505631724106,0.7421552056265698,0.9749565029289256
199,0.35354849696159363,0.8591241240501404,0.5141619658391755,0.8966903686523438,0.6201998700140161,0.8325396340397636,0.916832918476999
200,0.3533259928226471,0.8593944311141968,0.7313003219694897,0.9134502410888672,0.8126746270176619,0.8280123647847614,0.9594055964460216
201,0.3527473211288452,0.8597189784049988,0.6178188522590197,0.9249610900878906,0.7297709519265578,0.7529286652575475,0.988161297332737
202,0.35309502482414246,0.8598453402519226,0.7780003570135234,0.8853549957275391,0.8697191410685327,0.8780016914006642,0.9426632410416954
203,0.35270607471466064,0.8603030443191528,0.6549783285546882,0.9532146453857422,0.7689000748921748,0.6633176910145531,0.9989406645907457
204,0.353108674287796,0.8600823879241943,0.501038030758962,0.8150749206542969,0.5793227257896596,0.5303312076039961,0.9960693157758435
205,0.35344043374061584,0.8599343299865723,0.6528050303238456,0.8295783996582031,0.7428304590422424,0.661815281530324,0.9810718746554823
206,0.35296308994293213,0.8602609634399414,0.8124194446788336,0.9275455474853516,0.8778282854236947,0.8842152216883663,0.9607324556469501
207,0.3524011969566345,0.8605666756629944,0.6218012966015218,0.9238433837890625,0.7277910809627653,0.7637828912568702,0.9840261598654736
208,0.352333664894104,0.8607704639434814,0.719863711703153,0.9031715393066406,0.7976974594865922,0.8207048677273903,0.9756273399703252
209,0.35172003507614136,0.8612495064735413,0.7783356716307487,0.9613685607910156,0.8775076817999987,0.8222866966426515,0.9887878424223242
210,0.35145384073257446,0.8614077568054199,0.3803291387878618,0.8946342468261719,0.5134319073720318,0.4707643174106283,0.9611823626137341
211,0.3515786826610565,0.8614438772201538,0.6580863741481049,0.8690681457519531,0.7638904832872463,0.7068471569873442,0.9826155443954696
212,0.3507077991962433,0.8619369268417358,0.7877820703833561,0.9664535522460938,0.9006813063588643,0.7985594117545521,0.9962250447212446
213,0.3501802384853363,0.8621698617935181,0.6427724858108799,0.9117908477783203,0.7782134636704299,0.6601714697579051,0.997440766141986
214,0.3521999418735504,0.8616994619369507,0.5524266829432732,0.7610263824462891,0.6742538698509032,0.6301190937744569,0.943317997899083
215,0.3513602614402771,0.8621255159378052,0.6854138108735737,0.9537353515625,0.790049925421276,0.7642311477024724,0.986025422493175
216,0.35083338618278503,0.8624674677848816,0.751280263092786,0.9363307952880859,0.8263292094664664,0.9361254299402637,0.9732402157362238
217,0.351081907749176,0.8626604676246643,0.7379040102986562,0.9045429229736328,0.8213074347012027,0.892585273642048,0.9667745864959788
218,0.35045182704925537,0.863057017326355,0.7934443546256597,0.9495124816894531,0.8622504172925083,0.9295071581650445,0.97761960384895
219,0.3504500687122345,0.8631524443626404,0.6511860698400691,0.8840465545654297,0.7616337392243367,0.777591795534216,0.9664582392430175
220,0.35032525658607483,0.8632388710975647,0.5126381170985271,0.8822402954101562,0.5907623591775999,0.5383620993676624,0.9771686118662162
221,0.34985020756721497,0.8635051250457764,0.7091301996926759,0.9223480224609375,0.8207217583497519,0.7658710964454414,0.9886498068711378
222,0.3498905301094055,0.8636343479156494,0.6620019325775959,0.8923225402832031,0.7785341699847969,0.7080394713584193,0.9825349691509689
223,0.3499488830566406,0.8637520670890808,0.7297229790155172,0.8900184631347656,0.8399207044496921,0.7846053420702009,0.9951479247548792
224,0.34946408867836,0.864018440246582,0.6804956970204445,0.923675537109375,0.7815752353962875,0.7957860706852159,0.9682730527784102
225,0.3499559760093689,0.8639671802520752,0.5784504907478409,0.8524284362792969,0.6825283138008106,0.7623687436078201,0.9676033566843205
226,0.34974613785743713,0.8641195297241211,0.6125207092421382,0.91920166015625,0.718847470337601,0.8834493725662904,0.9481867504036469
